kode;nama;kategori;satuan_kecil;harga_beli;harga_jual;satuan_besar
OBT0349;HYAJOINT 2,5ML;Obat Keras;Ampul;440000;523600;Vial
OBT0352;TRILAC INJEKSI 40 MG;Obat Keras;Ampul;97902;116500;Vial
0108f0105;ABBOTIC GRAN 125MG/5ML D SYR 30ML;Obat Keras;Botol;103000;121500;Botol
OBT0972;ABBOTIC GRAN 50ML;Obat Keras;Botol;2249885;238500;Botol
0110a0004;ABSOLUTE ORIG 60ML;Obat Bebas;Botol;16091;18000;Botol
0101a000512;ACITRAL SUSP 120ML;Obat Bebas;Botol;405372;45810;Botol
0103c0706;ACTIFED + COUGH SYR MERAH 60ML (P);Oot Prekursor;Botol;5319262;61170;Botol
0103c0708;ACTIFED + EXP SYR HIJAU 60ML;Oot Prekursor;Botol;5540898;63720;Botol
0103c0710;ACTIFED SYR KUNING 60ML;Oot Prekursor;Botol;5540898;63720;Botol
OBT0977;ADARA HAND SANITIZER GEL 60ML;Obat Bebas;Botol;10000;11200;Botol
OBT0978;ADARA HAND SANITIZER SPRAY 60ML;Obat Bebas;Botol;10000;11200;Botol
40200019;ADEM SARI CHINGKU 320ML;F&b;Botol;4500;5400;Botol
0118a0005;AERIUS SYR 60ML;Obat Keras;Botol;100100;118100;Botol
OBT0547;AFITSON EXTRA BALSEM 18 G;Obat Bebas;Botol;34144;3800;Botol
0113f0029;AFRA PREMIUM OLIVE OIL 250 ML;Obat Herbal;Botol;55000;61600;Botol
0103d0029;AFRIN NASAL SPRAY 15 ML;Obat Bebas;Botol;571857;64600;Botol
OBT0784;AKILEN EAR DROP 5 ML;Obat Keras;Botol;69042;81469.56;Botol
GSTB3364;AL AFIAT IKAN GABUS 60 KAPSUL;Obat Herbal;Botol;42300;48645;Botol
30000078;AL KHODRY MINYAK KEMIRI 125ML;Obat Herbal;Botol;22000;24600;Botol
1,15E+03;ALBOTHYL CONCENT 10ML;Obat Keras;Botol;412918;48724.32;Botol
1,15E+05;ALBOTHYL CONCENT 5ML;Obat Keras;Botol;17871;21090;Botol
0103c0714;ALCO ORAL DROP 15ML;Oot Prekursor;Botol;9205785;105870;Botol
0103c0715;ALCO PLUS DMP SYR 100ML;Oot Prekursor;Botol;5329665;61290;Botol
0103c0716;ALCO PLUS SYR 100ML;Oot Prekursor;Botol;656787;75530;Botol
0114g0066;ALEGYSAL 0.1% EYE DROP 5ML;Obat Keras;Botol;834955;98525;Botol
OBT0104;AL-JAZIRA SARI KURMA 250 G;Obat Herbal;Botol;144855;16370;Botol
OBT0247;ALKOHOL 100ML BRATACARE;Alat Kesehatan;Botol;6600;7590;Botol
OBT0141;ALKOHOL 100ML PIM;Obat Bebas;Botol;50006;5650;Botol
20000161;ALKOHOL 70% IKA 100ML;Alat Kesehatan;Botol;14400;17300;Botol
PWTZ8819;ALKOHOL FRESH IKA 100 ML;Obat Keras;Botol;111683;12600;Botol
0103c0720;ALLERIN EXP SYR 120ML;Oot Prekursor;Botol;2064489;24773.87;Botol
0103c0721;ALLERIN EXP SYR 60ML;Oot Prekursor;Botol;1103686;13240;Botol
0114b0001;ALLETROL COM EYE DROP 5ML;Obat Keras;Botol;1350079;15930.93;Botol
YMWP0528;ALOCLAIR PLUS MOUTHWASH 60 ML;Obat Bebas;Botol;91575;103479.75;Botol
0103c0737;AMBROXOL IF15MG/5ML SYR 60ML;Obat Keras;Botol;57498;6780;Botol
OBT0920;AMBROXOL SIRUP 30 MG/5 ML 60 ML;Obat Keras;Botol;54945;6540;Botol
0108c0014;AMOXICILLIN SANBE 125MG/5ML D SYR 60ML;Obat Keras;Botol;4662;5270;Botol
0108c0056;AMOXSAN 125MG/5ML D SYR 60ML;Obat Keras;Botol;2487177;28105.1;Botol
0108c0060;AMOXSAN DROP PAED 15ML;Obat Keras;Botol;25530;28848.9;Botol
0108c0061;AMOXSAN F 250MG/5ML D SYR 60ML;Obat Keras;Botol;3531576;39906.81;Botol
OBT0395;AMUNIZER 140 ML;Obat Bebas;Botol;607561;7100;Botol
0103c0746;ANACETINE SYR 60ML (P);Oot Prekursor;Botol;8910;10700;Botol
0103c0747;ANADEX SYR 60ML;Oot Prekursor;Botol;3487731;40110;Botol
0103c0749;ANAKONIDIN OBH SYR 30ML;Oot Prekursor;Botol;730713;8770;Botol
0103c0750;ANAKONIDIN OBH SYR 60ML;Oot Prekursor;Botol;1112958;12800;Botol
0103c0751;ANAKONIDIN SYR 30ML;Oot Prekursor;Botol;5900;6800;Botol
0103c0752;ANAKONIDIN SYR 60ML;Oot Prekursor;Botol;1030746;11850;Botol
OBT0485;ANCLA FORTE SIRUP 60 ML;Obat Keras;Botol;72930;86800;Botol
OBT1164;ANDALAN FEMININE CARE REVITALIZE 60 ML;Obat Bebas;Botol;142968;16300;Botol
0101a0040;ANTASIDA RAMA SUSP 60ML;Obat Bebas;Botol;5750;6500;Botol
WSBT3427;ANTIS HAND SANITIZER GEL 60 ML;Alat Kesehatan;Botol;716628;9200;Botol
8,99E+12;ANTIS JASMINE SPRAY 55ML;Alat Kesehatan;Botol;1109556;12759.89;Botol
OBT0167;ANTIS JERUK NIPIS SPRAY 30 ML;Obat Bebas;Botol;52712;5956;Botol
970000002;ANTIS SPRAY JERUK NIPIS 55ML;Obat Bebas;Botol;10200;11400;Botol
0116k0003;ANTIS SPRAY TIMUN 55ML;Obat Bebas;Botol;10878;12183.36;Botol
0112g0180;APIALYS DROP 10ML;Obat Bebas;Botol;462315;52240;Botol
0112g0181;APIALYS SYR 100ML;Obat Bebas;Botol;38073;43022.49;Botol
0103d0006;AQUA MARIS NASAL SPRAY 30ML;Obat Bebas;Botol;100000;113000;Botol
OBT1006;AQUA MARIS STRONG NASAL SPRAY 30 M;Obat Bebas;Botol;111000;125430;Botol
